model,accuracy,macro_precision,weighted_precision,macro_f1,high_precision,high_recall
Logistic Regression,0.548936170212766,0.6074407741074408,0.7799522927182502,0.5587595086645182,0.8888888888888888,0.47058823529411764
Random Forest,0.6851063829787234,0.5475882103734189,0.7204095902423573,0.5541391941391941,0.832258064516129,0.7588235294117647
Extra Trees,0.723404255319149,0.5424282707433256,0.7082235562815101,0.5364953354513465,0.8135593220338984,0.8470588235294118
HistGradientBoosting,0.7276595744680852,0.5255636070853461,0.6937763387809641,0.5177653389917615,0.7989130434782609,0.8647058823529412
